YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
2006,-0.67,-0.39,5.36,11.29,17.73,19.95,22.12,26.52,21.58,18.30,8.65,1.97,-1.49,11.46,22.86,16.18,12.25
2007,0.71,4.05,5.86,11.31,16.29,21.83,22.70,25.57,21.60,15.24,7.54,2.24,2.24,11.15,23.37,14.79,12.89
2008,-1.74,-0.58,7.49,13.74,16.88,20.91,24.28,24.83,22.00,16.84,8.49,1.73,-0.03,12.70,23.34,15.78,12.95
2009,-1.13,2.76,6.11,11.97,17.66,21.24,23.58,25.19,21.40,16.01,7.31,-0.16,1.12,11.91,23.34,14.91,12.82
2010,-3.46,1.44,4.84,9.34,15.84,21.64,24.44,25.84,21.84,14.84,7.44,-0.13,-0.73,10.01,23.97,14.71,11.99
2011,-5.83,1.17,3.97,9.77,16.57,19.77,23.67,24.77,21.47,14.57,11.17,0.20,-1.60,10.10,22.74,15.74,11.74
2012,-2.10,-1.40,5.00,11.50,17.90,22.70,24.30,26.50,20.80,15.40,5.90,-3.87,-1.10,11.47,24.50,14.03,12.23
2013,-3.07,-1.57,3.93,8.73,15.83,22.03,23.93,26.73,21.33,15.73,6.63,0.26,-2.84,9.50,24.23,14.56,11.36
2014,-0.44,1.26,6.86,12.16,16.76,21.66,24.66,24.36,21.86,15.76,9.06,-2.22,0.36,11.93,23.56,15.56,12.85
2015,-0.92,1.48,5.08,12.38,16.88,22.08,24.83,26.13,22.53,16.03,9.48,2.41,-0.55,11.45,24.35,16.01,12.81
2016,-2.09,0.96,6.66,13.26,18.61,22.31,25.46,27.66,23.16,16.26,7.41,2.14,0.43,12.84,25.14,15.61,13.51
2017,-0.71,0.34,6.34,12.89,18.09,22.04,26.14,25.64,21.94,15.94,6.04,-1.33,0.59,12.44,24.61,14.64,13.07
2018,-3.63,-1.63,7.27,12.22,17.17,21.67,26.92,28.32,21.72,14.02,8.67,-0.05,-2.20,12.22,25.64,14.80,12.62
2019,-0.25,1.15,6.85,11.75,18.05,21.75,25.25,27.15,22.75,16.90,8.35,1.90,0.28,12.22,24.72,16.00,13.30
2020,2.10,2.80,7.25,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,2.27,999.90,999.90,999.90,999.90
